date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:36	2203/2203	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:36%20GMT	https://old.leu.zuerich/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fbazaar%2F	./old-leu-static/old.leu.zuerich/wp-json/oembed/1.0/embeda601.json	(from https://old.leu.zuerich/bazaar/)
10:12:37	747/747	---M-Z	200	added ('OK')	application/rss+xml	etag:%227a9b45e7dae8f811bb0899ed336cc8f5-gzip%22	https://old.leu.zuerich/bazaar/feed/	./old-leu-static/old.leu.zuerich/bazaar/feed/index.html	(from https://old.leu.zuerich/bazaar/)
10:12:37	2354/2354	---M-Z	200	added ('OK')	text/xml	date:Tue,%2005%20May%202026%2008:12:37%20GMT	https://old.leu.zuerich/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fbazaar%2F&format=xml	./old-leu-static/old.leu.zuerich/wp-json/oembed/1.0/embed9db2	(from https://old.leu.zuerich/bazaar/)
10:12:38	9251/9251	---M-Z	200	added ('OK')	text/css	etag:%222423-5f5ff98572660-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/style.css?ver=1.1.120260505081211	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/style34a2.css	(from https://old.leu.zuerich/bazaar/)
10:12:39	5500/5500	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:39%20GMT	https://old.leu.zuerich/wp-json/wp/v2/pages/58	./old-leu-static/old.leu.zuerich/wp-json/wp/v2/pages/58.json	(from https://old.leu.zuerich/bazaar/)
10:12:41	472378/472378	---M--	200	added ('OK')	image/jpeg	etag:%227353a-5d835faefd7e9%22	https://old.leu.zuerich/wp-content/uploads/2022/02/Variante_3-scaled.jpg	./old-leu-static/old.leu.zuerich/wp-content/uploads/2022/02/Variante_3-scaled.jpg	(from https://old.leu.zuerich/bazaar/)
10:12:41	3961/3961	---M-Z	200	added ('OK')	application/javascript	etag:%22f79-5f5ffacc3b70b-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/tools.js?ver=1.1.120260505081211	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/tools34a2.js	(from https://old.leu.zuerich/bazaar/)
10:12:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20May%202026%2008:12:41%20GMT	https://old.leu.zuerich/?p=58	./old-leu-static/old.leu.zuerich/indexe9b4.html	(from https://old.leu.zuerich/bazaar/)
10:12:42	2241/2241	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:42%20GMT	https://old.leu.zuerich/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fdemurrage%2F	./old-leu-static/old.leu.zuerich/wp-json/oembed/1.0/embed4d44.json	(from https://old.leu.zuerich/demurrage/)
10:12:43	767/767	---M-Z	200	added ('OK')	application/rss+xml	etag:%227a9b45e7dae8f811bb0899ed336cc8f5-gzip%22	https://old.leu.zuerich/demurrage/feed/	./old-leu-static/old.leu.zuerich/demurrage/feed/index.html	(from https://old.leu.zuerich/demurrage/)
10:12:43	27625/27625	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20May%202026%2008:12:43%20GMT	https://old.leu.zuerich/en/demurrage/	./old-leu-static/old.leu.zuerich/en/demurrage/index.html	(from https://old.leu.zuerich/demurrage/)
10:12:43	2392/2392	---M-Z	200	added ('OK')	text/xml	date:Tue,%2005%20May%202026%2008:12:43%20GMT	https://old.leu.zuerich/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fdemurrage%2F&format=xml	./old-leu-static/old.leu.zuerich/wp-json/oembed/1.0/embed0155	(from https://old.leu.zuerich/demurrage/)
10:12:44	9251/9251	---M-Z	200	added ('OK')	text/css	etag:%222423-5f5ff98572660-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/style.css?ver=1.1.120260505081212	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/style3a01.css	(from https://old.leu.zuerich/demurrage/)
10:12:45	5599/5599	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:45%20GMT	https://old.leu.zuerich/wp-json/wp/v2/pages/687	./old-leu-static/old.leu.zuerich/wp-json/wp/v2/pages/687.json	(from https://old.leu.zuerich/demurrage/)
10:12:47	3961/3961	---M-Z	200	added ('OK')	application/javascript	etag:%22f79-5f5ffacc3b70b-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/tools.js?ver=1.1.120260505081212	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/tools3a01.js	(from https://old.leu.zuerich/demurrage/)
10:12:48	585660/585660	---M--	200	added ('OK')	image/jpeg	etag:%228efbc-5ff46e7f9b2b0%22	https://old.leu.zuerich/wp-content/uploads/2023/06/DSF1549.jpg	./old-leu-static/old.leu.zuerich/wp-content/uploads/2023/06/DSF1549.jpg	(from https://old.leu.zuerich/demurrage/)
10:12:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20May%202026%2008:12:47%20GMT	https://old.leu.zuerich/?p=687	./old-leu-static/old.leu.zuerich/indexcbf7.html	(from https://old.leu.zuerich/demurrage/)
10:12:48	2263/2263	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:48%20GMT	https://old.leu.zuerich/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fendorsement-programm%2F	./old-leu-static/old.leu.zuerich/wp-json/oembed/1.0/embed8208.json	(from https://old.leu.zuerich/endorsement-programm/)
10:12:49	789/789	---M-Z	200	added ('OK')	application/rss+xml	etag:%227a9b45e7dae8f811bb0899ed336cc8f5-gzip%22	https://old.leu.zuerich/endorsement-programm/feed/	./old-leu-static/old.leu.zuerich/endorsement-programm/feed/index.html	(from https://old.leu.zuerich/endorsement-programm/)
10:12:49	2414/2414	---M-Z	200	added ('OK')	text/xml	date:Tue,%2005%20May%202026%2008:12:49%20GMT	https://old.leu.zuerich/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fendorsement-programm%2F&format=xml	./old-leu-static/old.leu.zuerich/wp-json/oembed/1.0/embedcb6f	(from https://old.leu.zuerich/endorsement-programm/)
10:12:50	5646/5646	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:50%20GMT	https://old.leu.zuerich/wp-json/wp/v2/pages/1469	./old-leu-static/old.leu.zuerich/wp-json/wp/v2/pages/1469.json	(from https://old.leu.zuerich/endorsement-programm/)
10:12:52	266771/266771	---M--	200	added ('OK')	image/jpeg	etag:%2241213-5fab1d29573ed%22	https://old.leu.zuerich/wp-content/uploads/2023/05/DSF0539.jpg	./old-leu-static/old.leu.zuerich/wp-content/uploads/2023/05/DSF0539.jpg	(from https://old.leu.zuerich/endorsement-programm/)
10:12:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20May%202026%2008:12:52%20GMT	https://old.leu.zuerich/?p=1469	./old-leu-static/old.leu.zuerich/indexccf7.html	(from https://old.leu.zuerich/endorsement-programm/)
10:12:52	2197/2197	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:52%20GMT	https://old.leu.zuerich/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fausschreibung%2F	./old-leu-static/old.leu.zuerich/wp-json/oembed/1.0/embed4b74.json	(from https://old.leu.zuerich/ausschreibung/)
10:12:53	2346/2346	---M-Z	200	added ('OK')	text/xml	date:Tue,%2005%20May%202026%2008:12:52%20GMT	https://old.leu.zuerich/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fausschreibung%2F&format=xml	./old-leu-static/old.leu.zuerich/wp-json/oembed/1.0/embed242b	(from https://old.leu.zuerich/ausschreibung/)
10:12:54	9251/9251	---M-Z	200	added ('OK')	text/css	etag:%222423-5f5ff98572660-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/style.css?ver=1.1.120260505081214	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/style56ab.css	(from https://old.leu.zuerich/ausschreibung/)
10:12:55	5436/5436	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:55%20GMT	https://old.leu.zuerich/wp-json/wp/v2/pages/767	./old-leu-static/old.leu.zuerich/wp-json/wp/v2/pages/767.json	(from https://old.leu.zuerich/ausschreibung/)
